movie_id,original_id,name,date,tagline,description,minute,theatrical_release_age_rating,rating
2608,1006281,The Girl in the Spider's Web,2018,Discover what made her the girl,"In Stockholm, Sweden, hacker Lisbeth Salander is hired by Frans Balder, a computer engineer, to retrieve a program that he believes it is too dangerous to exist.",115,R,2.64
2609,1006282,Timecop,1994,Turn back the clock and you're history.,"An officer for a security agency that regulates time travel, must fend for his life against a shady politician who has a tie to his past.",99,R,2.86
2610,1006283,Tammy,2014,She hit the road. The road hit back.,"For Tammy, a burger-joint employee, a bad day keeps getting worse. She wrecks her car, loses her job and finds that her husband has been unfaithful. It's time for Tammy to hit the road, but without money or transportation, her options are limited. Her only choice is a road trip with her hard-drinking grandmother, Pearl, who has a car, cash and an itch to see Niagara Falls. It's not the escape Tammy had in mind, but it may be what she needs.",97,R,2.27
2611,1006287,The Good Shepherd,2006,The untold story of the most powerful covert agency in the world.,"Edward Wilson, the only witness to his father's suicide and member of the Skull and Bones Society while a student at Yale, is a morally upright young man who values honor and discretion, qualities that help him to be recruited for a career in the newly founded OSS. His dedication to his work does not come without a price though, leading him to sacrifice his ideals and eventually his family.",167,R,3.15
2612,1006289,Dirty Work,1998,Revenge is a dish best served DIRTY.,"Unemployed and recently dumped, Mitch and his buddy Sam start a revenge-for-hire business to raise the $50,000 that Sam's father needs to get a heart transplant.",82,PG-13,3.26
2613,1006303,Death to Smoochy,2002,Get ready for an unexpected hit.,"Tells the story of Rainbow Randolph, the corrupt, costumed star of a popular children's TV show, who is fired over a bribery scandal and replaced by squeaky-clean Smoochy, a puffy fuscia rhinoceros. As Smoochy catapults to fame - scoring hit ratings and the affections of a network executive - Randolph makes the unsuspecting rhino the target of his numerous outrageous attempts to exact revenge and reclaim his status as America's sweetheart.",109,R,3.19
2614,1006304,You Should Have Left,2020,The house finds you,"In an effort to repair their relationship, a couple books a vacation in the countryside for themselves and their daughter. What starts as a perfect retreat begins to fall apart as one loses their grip on reality, and a sinister force tries to tear them apart.",93,,2.35
2615,1006308,The Town That Dreaded Sundown,1976,"In 1946 this man killed five people... Today he still lurks the streets of Texarkana, Ark.","A Texas Ranger hunts for a hooded serial killer terrorizing the residents of a small town, set in 1946 Arkansas. Loosely based on a true story.",86,R,2.93
2616,1006313,Bud Abbott and Lou Costello Meet Frankenstein,1948,More howls than you can shake a shiver at!!!,"Two hapless freight handlers find themselves encountering Dracula, the Frankenstein Monster and the Wolf Man.",83,NR,3.59
2617,1006316,Pieces of April,2003,She's the one in every family.,"Quirky and rebellious April Burns lives with her boyfriend in a low-rent New York City apartment miles away from her emotionally distant family. But when she discovers that her mother has a fatal form of breast cancer, she invites the clan to her place for Thanksgiving. While her father struggles to drive her family into the city, April -- an inexperienced cook -- runs into kitchen trouble and must ask a neighbor for help.",81,,3.54
