actor_name,avg_rating,count,is_star
Antonio Fargas,3.272666666666667,15,True
Antonio Filauri,3.3575,8,True
Antonio Moreno,3.4135714285714287,14,True
April Grace,3.5866666666666664,6,True
April Winchell,3.0433333333333334,3,False
Arch Johnson,3.5583333333333336,6,True
Archie Hahn,3.1845,20,False
Archie Moore,3.34,6,True
Archie Twitchell,3.5429411764705883,17,True
Arden Myrin,2.94,3,False
Argentina Brunetti,3.3229999999999995,20,True
Ariana Richards,3.2657142857142856,7,False
Arija Bareikis,2.81,2,False
Arleen Whelan,3.4583333333333335,6,True
Arlen Escarpeta,2.95,1,False
Arlene Dahl,3.325,8,True
Arlene Golonka,3.2,8,False
Arline Bletcher,3.5816666666666666,6,True
Arline Judge,3.185,6,False
Arliss Howard,3.445555555555556,9,True
Armand Assante,2.9861538461538464,13,False
Armand Kaliz,3.363684210526316,19,True
Armand Schultz,3.42,1,False
Armando Riesco,3.86,1,False
Armin Mueller-Stahl,3.1042857142857145,7,False
Army Archerd,3.2545454545454544,11,False
Arno Frey,3.3847619047619046,21,True
Arnold Chon,2.46,1,False
Arnold F. Turner,3.298888888888889,9,True
Arnold Johnson,3.2533333333333334,6,False
Arnold Moss,3.2944444444444443,9,True
Arnold Pinnock,2.83,3,False
Arnold Roberts,3.35375,8,True
Arnold Schwarzenegger,3.011904761904762,21,False
Arnold Stang,3.0612500000000002,8,False
Arnold Vosloo,2.716666666666667,6,False
Aron Kincaid,3.0866666666666664,6,False
"Arsenio ""Sonny"" Trinidad",2.9825,8,False
Arsenio Hall,3.1775,4,False
Art Baker,3.2891666666666666,12,True
Art Carney,3.279166666666667,12,True
Art Dupuis,3.418235294117647,17,True
Art Evans,3.218148148148148,27,False
Art Felix,3.3007142857142857,14,True
Art Foster,3.4354545454545455,11,True
Art Frankel,3.4,6,True
Art Gilmore,3.515333333333333,15,True
Art Hindle,3.0380000000000003,5,False
Art Howard,3.5677777777777777,9,True
Art LaFleur,2.98,21,False
Art Malik,3.0975,4,False
Art Metrano,3.0841666666666665,12,False
Art Miles,3.344666666666667,15,True
Art Mix,3.2325,8,False
Art Smith,3.556,15,True
Arte Johnson,3.185,6,False
Arthur Adams,3.087142857142857,7,False
Arthur Aylesworth,3.383055555555556,36,True
Arthur Batanides,2.937142857142857,7,False
Arthur Belasco,3.36,14,True
Arthur Berkeley,3.4909090909090907,11,True
Arthur Byron,3.3127272727272725,11,True
Arthur Dulac,3.5575,8,True
Arthur Franz,3.228666666666667,15,False
Arthur French,3.2939999999999996,10,True
Arthur Gould-Porter,3.2773333333333334,15,True
Arthur Hill,3.2985714285714285,14,True
Arthur Hohl,3.445357142857143,28,True
Arthur Holden,3.107142857142857,7,False
Arthur Housman,3.375294117647059,17,True
Arthur Howard,3.1999999999999997,6,False
Arthur Hoyt,3.500909090909091,33,True
Arthur Hunnicutt,3.371818181818182,22,True
Arthur J. Nascarella,3.41,8,True
Arthur Kennedy,3.5038709677419355,31,True
Arthur Loft,3.4110714285714288,28,True
Arthur Malet,3.3717647058823528,17,True
Arthur O'Connell,3.3741935483870966,31,True
Arthur Peterson,3.401666666666667,6,True
Arthur Q. Bryan,3.3263636363636366,11,True
Arthur Rankin,3.421666666666667,6,True
Arthur Rosenberg,3.1616666666666666,6,False
Arthur Shields,3.413846153846154,26,True
Arthur Space,3.263888888888889,36,False
Arthur Stuart Hull,3.5713333333333335,15,True
Arthur Tovey,3.4227906976744187,86,True
Arthur Treacher,3.291428571428572,21,True
Arthur Walsh,3.545,6,True
Artie Ortego,3.3147058823529414,17,True
Arturo Gil,2.898,5,False
Arye Gross,3.118,10,False
Ashley Jensen,3.84,1,False
Ashley Johnson,2.9579999999999997,5,False
Ashley Judd,3.371,10,True
Ashley Olsen,3.03,3,False
Ashley Peldon,3.143333333333333,6,False
Ashley Scott,3.6,1,False
Ashton Kutcher,2.54,2,False
Asia Argento,2.765,2,False
Astrid Allwyn,3.425,10,True
Aubrey Mather,3.4495652173913043,23,True
Aubrey Morris,3.2255555555555557,9,False
Audie Murphy,3.31,18,True
Audra Lindley,3.2446153846153845,13,False
Audra McDonald,3.055,2,False
Audrey Christie,3.23,7,False
Audrey Hepburn,3.4905555555555554,18,True
Audrey Totter,3.368888888888889,18,True
Audrey Wasilewski,2.77,1,False
August Schellenberg,2.9483333333333337,6,False
Aunjanue Ellis-Taylor,3.063333333333333,3,False
Austin O'Brien,2.825714285714286,7,False
Austin Pendleton,3.170434782608696,23,False
Austin Willis,3.13,7,False
Ava Gardner,3.3035294117647056,34,True
Avon Long,3.6166666666666667,6,True
BD Wong,3.36375,8,True
Babs Chula,3.248333333333333,6,False
Badja Djola,3.213636363636364,11,False
Bai Ling,2.9800000000000004,3,False
Balthazar Getty,3.0700000000000003,4,False
Barbara Babcock,3.1585714285714284,7,False
Barbara Barrie,3.485,6,True
Barbara Bates,3.4107142857142856,14,True
Barbara Baxley,3.58875,8,True
Barbara Bedford,3.3327272727272725,22,True
Barbara Bel Geddes,3.68,6,True
Barbara Billingsley,3.422857142857143,14,True
Barbara Bouchet,3.307,10,True
Barbara Britton,3.3533333333333335,6,True
Barbara Brown,3.33,12,True
Barbara Carrera,2.7900000000000005,6,False
Barbara Eden,3.2066666666666666,9,False
Barbara Everest,3.3942857142857146,7,True
Barbara Hale,3.338461538461538,13,True
Barbara Harris,3.2813333333333334,15,True
Barbara Hershey,3.348333333333333,12,True
Barbara Hines,3.4,6,True
Barbara Jo Allen,3.4514285714285715,7,True
Barbara Lawrence,3.502222222222222,9,True
Barbara Leonard,3.3333333333333335,6,True
Barbara Luddy,3.652857142857143,7,True
Barbara Morrison,3.292857142857143,7,True
Barbara Nichols,3.335384615384615,13,True
Barbara O'Neil,3.578888888888889,9,True
Barbara Pepper,3.5122222222222224,27,True
Barbara Rhoades,3.356666666666667,6,True
Barbara Rush,3.386,15,True
Barbara Stanwyck,3.3422535211267608,71,True
Barbara Tyson,2.998333333333333,6,False
Barboura Morris,3.2520000000000002,10,False
Barbra Streisand,3.335714285714286,14,True
Barlowe Borland,3.545,8,True
Barnard Hughes,3.2836363636363632,11,True
Barnett Parker,3.3337499999999998,16,True
Barney Phillips,3.2577777777777777,9,False
Barret Oliver,3.16625,8,False
Barrie Chase,3.527,10,True
Barry Bernard,3.319230769230769,13,True
Barry Bostwick,3.1966666666666668,3,False
Barry Brooks,3.2866666666666666,9,True
Barry Cahill,3.3344444444444443,9,True
Barry Coe,3.2785714285714285,7,True
Barry Corbin,3.098,15,False
Barry Dennen,3.6822222222222223,9,True
Barry Diamond,2.77,6,False
Barry Fitzgerald,3.491764705882353,17,True
Barry Humphries,3.0100000000000002,5,False
Barry Jones,3.27625,8,True
Barry Kelley,3.358636363636364,22,True
Barry Livingston,2.505,2,False
Barry Macollum,3.411111111111111,9,True
Barry Miller,3.1885714285714286,7,False
Barry Nelson,3.37,11,True
Barry Norton,3.4873469387755103,49,True
Barry Pepper,3.072,5,False
Barry Primus,3.230909090909091,11,False
Barry Shabaka Henley,3.2845454545454547,11,True
Barry Sonnenfeld,3.4683333333333333,6,True
Barry Sullivan,3.3255000000000003,20,True
Bart Anderson,2.925,4,False
Bart Burns,3.4499999999999997,7,True
Bart Hansard,2.745,2,False
Bart the Bear,3.04375,8,False
Bartlett Robinson,3.4077777777777776,9,True
Barton Heyman,3.309090909090909,11,True
Barton MacLane,3.3422727272727273,44,True
Basil Hoffman,3.3027272727272727,11,True
Basil Rathbone,3.3195555555555556,45,True
Basil Ruysdael,3.39375,16,True
Basil Wallace,2.9857142857142853,7,False
Baxter Harris,3.3649999999999998,8,True
Baynes Barron,3.395,6,True
Beach Dickerson,3.2016666666666667,6,False
Beah Richards,3.466666666666667,6,True
Beal Wong,3.3076923076923075,13,True
Beans Morocco,3.089230769230769,13,False
Beatrice Blinn,3.6042857142857145,7,True
Beatrice Curtis,3.5985714285714288,7,True
Beatrice Gray,3.455714285714286,7,True
Beatrice Hagen,3.2585714285714285,7,False
Beatrice Roberts,3.283333333333333,15,True
Beatrice Straight,3.1849999999999996,10,False
